@RELATION characters
@ATTRIBUTE name  STRING
@ATTRIBUTE culture  {"ironborn" , "northmen" , "freefolk" , "braavosi" , "valyrian" , "ghiscari" , "dothraki" , "dornish" , "westeros" , "mountainclans" , "tyroshi" , "qaren" , "ironmen"}
@ATTRIBUTE allegiance  {"Allyrion","Ambrose","Arryn","Ashford","Baelish","Ball","Banefort","Bar","Baratheon","Beesbury","Belmore","Bettley","Blackbar","Blackberry","Blackfyre","Blackmont","Blacktyde","Blackwood","Blanetree","Blount","Boggs","Bolling","Bolton","Borrell","Botley","Bracken","Brax","Broom","Brune","Buckler","Bulwer","Bushy","Butterwell","Byrch","Bywater","Cafferen","Caron","Cassel","Caswell","Celtigar","Cerwyn","Charlton","Chelsted","Chester","Chyttering","Clegane","Clifton","Cockshaw","Codd","Coldwater","Cole","Condon","Conklyn","Connington","Corbray","Costayne","Cox","Crabb","Crakehall","Crane","Cupps","Cuy","Dalt","Darklyn","Darry","Dayne","Deddings","Dondarrion","Drinkwater","Drumm","Dustin","Egen","Erenford","Errol","Estermont","Estren","Farman","Farring","Farwynd","Fell","Flint","Florent","Foote","Fossoway","Fowler","Frey","Gargalen","Gaunt","Glover","Goodbrook","Goodbrother","Gower","Graceford","Grafton","Grandison","Greenfield","Grell","Greyjoy","Grimm","Haigh","Harclay","Hardy","Hardyng","Harlaw","Hasty","Hawick","Hayford","Hetherspoon","Hewett","Hightower","Hoare","Hogg","Hollard","Hornwood","Horpe","Humble","Hunt","Hunter","Inchfield","Ironmaker","Jast","Jordayne","Karstark","Kenning","Kettleblack","Lannister","Lefford","Leygood","Liddle","Locke","Longthorpe","Lonmouth","Lorch","Lothston","Lychester","Lydden","Lynderly","Mallery","Mallister","Manderly","Manwoody","Marbrand","Martell","Massey","Meadows","Merlyn","Merryweather","Mertyns","Mollen","Moore","Mooton","Moreland","Mormont","Morrigen","Mudd","Mullendore","Myre","Nayland","Norcross","Norrey","Norridge","Nymeros","Oakheart","Osgrey","Paege","Payne","Peake","Peckledon","Penrose","Piper","Plumm","Poole","Potter","Prester","Qorgyle","Rambton","Redbeard","Redfort","Redwyne","Reed","Reyne","Rhysling","Risley","Roote","Rosby","Rowan","Royce","Ruttiger","Ryger","Rykker","Ryswell","Santagar","Sarsfield","Sawyer","Seaworth","Selmy","Serry","Sharp","Shepherd","Shett","Slynt","Smallwood","Sparr","Spicer","Stackspear","Staedmon","Stark","Staunton","Stokeworth","Stonehouse","Stonetree","Stout","Strickland","Strong","Sunderland","Sunglass","Swann","Swyft","Tallhart","Targaryen","Tarly","Tarth","Tawney","Templeton","Thorne","Toland","Tollett","Toyne","Trant","Tully","Turnberry","Tyrell","Uffering","Uller","Umber","Vaith","Vance","Varner","Velaryon","Vikary","Volmark","Vypren","Vyrwel","Wagstaff","Wayn","Waynwood","Weaver","Webber","Wells","Wellsofthe","Westerling","Whent","Willum","Wode","Woods","Woolfield","Wull","Wylde","Wynch","Wythers","Yew","Yronwood"}
@ATTRIBUTE born  NUMERIC
@ATTRIBUTE title  {"Iron King" , "King in the North" , "Hand of the King" , "King" , "Princess" , "Prince" , "Lord Commander" , "Queen" , "Lady" , "Knight" , "Commander" , "Captain" , "Grand Maester" , "Archmaester" , "Maester" , "Master" , "Admiral" , "Lord" , "Sword" , "Steward" , "Cupbearer" , "Septa" , "Septon" , "Wisdom" , "Shield" , "Khal" , "Bloodrider" , "Castellan" , "Ser"}
<<<<<<< HEAD
@ATTRIBUTE isAlive {'dead','alive'}
@DATA
"Abelar Hightower",?,Hightower,?,"Ser","alive"
"Addam",?,?,?,"Ser","alive"
"Addam Frey",?,Frey,?,"Ser","alive"
"Addam Marbrand",?,Marbrand,?,"King","alive"
"Addam Osgrey",?,Osgrey,683,?,"dead"
"Addam Velaryon","valyrian",Velaryon,614,?,"dead"
"Addison Hill",?,Swyft,?,"King","alive"
"Aegon Blackfyre",?,Blackfyre,684,?,"dead"
"Aegon Frey (Bloodborn)",?,Frey,753,?,"alive"
"Aegon Frey (Jinglebell)",?,Frey,748,?,"dead"
"Aegon III Targaryen","valyrian",?,620,"King","dead"
"Aegon II Targaryen",?,?,607,"King","dead"
"Aegon IV",?,?,?,?,"alive"
"Aegon IV Targaryen",?,?,635,"King","dead"
"Aegon I Targaryen",?,?,473,"King","dead"
"Aegon Targaryen","valyrian",Targaryen,781,?,"dead"
"Aegon V",?,?,?,?,"alive"
"Aegon V Targaryen",?,?,700,"King","dead"
"Aegor Rivers",?,Bracken,672,"Ser","dead"
"Aelinor Penrose","valyrian",Penrose,?,"Queen","alive"
"Aemma Arryn",?,Arryn,582,"Queen","dead"
"Aemon Blackfyre",?,Blackfyre,684,?,"dead"
"Aemon Costayne",?,Costayne,?,?,"alive"
"Aemon Estermont",?,Estermont,?,"Ser","alive"
"Aemon Rivers",?,Frey,?,"Ser","alive"
"Aemon Targaryen",?,?,?,?,"alive"
"Aemond Targaryen","valyrian",Targaryen,610,"Prince","dead"
"Aenys Frey",?,Frey,740,"Ser","dead"
"Aenys I Targaryen",?,?,507,"King","dead"
"Aerion Targaryen","valyrian",Targaryen,691,"Prince","dead"
"Aeron Greyjoy","ironmen",Greyjoy,770,"Captain","alive"
"Aerys II Targaryen",?,?,744,"King","dead"
"Aerys I Targaryen",?,?,672,"King","dead"
"Aethan",?,?,?,?,"alive"
"Aethelmure",?,?,?,"Grand Maester","alive"
"Aggar",?,Greyjoy,?,?,"dead"
"Aggo","dothraki",Targaryen,?,"Bloodrider","alive"
"Aglantine",?,?,?,"Septa","alive"
"Agrivane",?,?,?,"Archmaester","alive"
"Aladale Wynch",?,Wynch,?,"Ser","dead"
"Alan",?,?,?,?,"alive"
"Alannys Harlaw","ironborn",Greyjoy,?,"Queen","alive"
"Alaric of Eysen",?,?,?,?,"alive"
"Alayaya",?,?,782,?,"alive"
"Albar Royce",?,Royce,?,"Ser","alive"
"Albett",?,?,?,?,"alive"
"Alchemists' Guild",?,?,?,?,"alive"
"Alebelly","northmen",Stark,?,?,"dead"
"Alekyne Florent",?,Florent,?,"Lord","alive"
"Alequo Adarys","tyroshi",?,?,?,"alive"
"Alerie Hightower",?,Hightower,757,"Lady","alive"
"Alesander Frey",?,Frey,765,?,"alive"
"Alesander Staedmon",?,Staedmon,?,"Lord","alive"
"Alesander Torrent",?,?,?,?,"alive"
"Alester Florent",?,Florent,?,"Hand of the King","dead"
"Alester Norcross",?,Norcross,790,?,"alive"
"Alester Oakheart",?,Oakheart,?,?,"dead"
"Alfyn",?,?,?,?,"alive"
"Alia",?,?,?,?,"alive"
"Alicent Hightower",?,Hightower,587,"Queen","dead"
"All-for-Joffrey",?,?,?,?,"dead"
"Alla Tyrell",?,Tyrell,786,?,"alive"
"Allaquo","braavosi",?,?,?,"alive"
"Allar Deem",?,?,?,?,"dead"
"Allard Seaworth",?,Seaworth,?,?,"dead"
"Alliser Thorne",?,?,747,"Ser","alive"
"Allyria Dayne",?,Dayne,?,?,"alive"
